ID del Cliente,Zona,Canal,Producto,Monto de Venta,Edad del Cliente,¿Capacitado?,Inversión en Publicidad,Mes,Asesor,% Cumplimiento Objetivo,% Clientes Nuevos,Participación en Campañas,Antigüedad del Asesor (meses)
C00001,,Sucursal,Plan Retiro,14908.48,27,No,3115.12,Enero,A34,79.27,0.12,Baja,23
C00002,Este,Unknown,Inversión Segura,16986.22,31,Sí,2744.13,Marzo,A6,88.55,0.3,Baja,5
C00003,,Call Center,Plan Retiro,8659.82,59,No,3069.54,Febrero,A19,87.9,0.51,Baja,7
C00004,Oeste,Agente,Inversión Segura,15616.65,63,No,4901.64,Marzo,A22,91.82,0.11,Ninguna,57
C00005,,Unknown,Inversión Segura,18282.41,47,No,1935.24,Enero,A14,114.94,0.31,Media,58
C00006,,Unknown,Inversión Segura,12546.14,58,Sí,2831.36,Enero,A33,86.39,0.51,Ninguna,6
C00007,Sur,Call Center,Ahorro Plus,20311.17,42,Desconocido,3706.39,Febrero,A19,108.27,0.56,Media,49
C00008,,Unknown,Ahorro Plus,12662.83,31,No,2599.86,Enero,A17,97.2,0.84,Ninguna,22
C00009,,Unknown,Ahorro Plus,10699.7,52,Desconocido,4580.54,Abril,A7,111.28,0.62,Baja,49
C00010,Oeste,Digital,Plan Retiro,17784.21,69,Desconocido,3678.46,Mayo,A23,84.92,0.43,Alta,13
C00011,Este,Sucursal,Plan Retiro,25166.47,65,Sí,2281.11,Marzo,A15,100.44,0.84,Media,12
C00012,,Unknown,Ahorro Plus,15426.77,51,Sí,3204.07,Abril,A7,89.11,0.73,Media,4
C00013,,Unknown,Plan Retiro,18174.54,27,Sí,2295.39,Marzo,A16,45.16,0.26,Alta,8
C00014,Sur,Digital,Inversión Segura,12456.41,52,No,2203.34,Abril,A39,73.65,0.2,Media,37
C00015,,Call Center,Inversión Segura,8791.92,28,Sí,2859.8,Marzo,A6,98.74,0.64,Media,31
C00016,Oeste,Agente,Inversión Segura,15831.33,28,Sí,4263.76,Febrero,A9,97.74,0.55,Alta,37
C00017,Centro,Unknown,Ahorro Plus,16622.0,38,No,3745.45,Enero,A3,70.58,0.73,Ninguna,45
C00018,,Sucursal,Plan Retiro,13210.44,38,Sí,2977.42,Enero,A48,93.31,0.69,Baja,26
C00019,,Unknown,Ahorro Plus,18155.28,39,Sí,3781.19,Febrero,A38,97.55,0.6,Ninguna,43
C00020,Centro,Unknown,Plan Retiro,11729.6,62,Sí,3268.62,Abril,A21,-5.0,0.89,Baja,8
C00021,Oeste,Call Center,Inversión Segura,10489.57,24,Sí,1830.11,Mayo,A6,100.93,0.53,Media,40
C00022,Norte,Unknown,Ahorro Plus,20303.21,34,Sí,2854.86,Abril,A33,98.89,0.19,Media,33
C00023,,Sucursal,Plan Retiro,20326.74,19,No,2926.84,Enero,A21,89.47,0.76,Baja,45
C00024,,Call Center,Plan Retiro,11828.28,29,No,3761.69,Mayo,A13,82.34,0.3,Ninguna,29
C00025,,Unknown,Inversión Segura,23594.25,59,No,2433.53,Marzo,A19,105.64,0.72,Alta,5
C00026,Norte,Agente,Ahorro Plus,13564.47,35,No,2087.34,Mayo,A20,96.95,0.87,Ninguna,28
C00027,,Unknown,Ahorro Plus,15423.91,28,No,2954.45,Abril,A36,-5.0,0.66,Ninguna,53
C00028,Sur,Call Center,Ahorro Plus,14576.74,33,Sí,2354.58,Febrero,A44,93.31,0.58,Baja,40
C00029,,Unknown,Inversión Segura,17618.8,66,No,2676.49,Marzo,A42,72.73,0.47,Ninguna,17
C00030,Este,Call Center,Ahorro Plus,16357.11,68,No,2919.12,Abril,A48,75.53,0.39,Media,55
C00031,,Agente,Inversión Segura,16289.81,35,No,2616.96,Marzo,A45,80.22,0.38,Ninguna,23
C00032,Sur,Unknown,Inversión Segura,9902.19,52,No,3963.18,Mayo,A37,90.67,0.61,Baja,45
C00033,Oeste,Digital,Inversión Segura,6557.19,43,Sí,4414.3,Enero,A29,95.62,0.7,Alta,9
C00034,Sur,Sucursal,Plan Retiro,20710.8,33,Sí,3862.91,Abril,A33,83.87,0.64,Ninguna,2
C00035,,Digital,Ahorro Plus,N/A,23,Sí,1228.8,Febrero,A5,84.52,0.26,Media,32
C00036,Oeste,Unknown,Ahorro Plus,14754.83,61,Desconocido,2358.03,Mayo,A23,82.45,0.5,Media,51
C00037,,Agente,Inversión Segura,16633.99,60,No,2821.35,Abril,A30,105.71,0.73,Media,52
C00038,,Digital,Inversión Segura,23145.05,64,No,1153.73,Febrero,A40,47.21,0.48,Alta,49
C00039,Centro,Call Center,Ahorro Plus,15806.79,64,Sí,2124.11,Abril,A10,85.37,0.53,Media,31
C00040,Este,Unknown,Inversión Segura,13026.01,65,No,2808.57,Mayo,A10,113.17,0.72,Ninguna,7
C00041,,Unknown,Ahorro Plus,12382.28,59,Sí,2551.03,Abril,A42,97.76,0.63,Alta,30
C00042,Centro,Digital,Plan Retiro,14813.22,29,Sí,3008.65,Marzo,A35,109.0,0.43,Alta,58
C00043,,Digital,Inversión Segura,10453.18,30,Sí,1619.17,Mayo,A29,59.49,0.82,Alta,3
C00044,,Agente,Ahorro Plus,15144.38,21,No,2539.72,Abril,A4,71.37,0.23,Media,51
C00045,,Sucursal,Inversión Segura,14739.9,56,No,3151.91,Enero,A38,97.71,0.9,Baja,51
C00046,Oeste,Digital,Ahorro Plus,23207.63,19,No,3010.2,Abril,A50,113.26,0.2,Baja,56
C00047,Centro,Unknown,Ahorro Plus,14581.99,43,Sí,3446.89,Marzo,A28,72.88,0.11,Ninguna,9
C00048,Este,Digital,Inversión Segura,5377.56,44,No,3388.57,Febrero,A16,84.18,0.81,Baja,10
C00049,,Unknown,Plan Retiro,28367.55,44,No,2592.89,Febrero,A45,96.02,0.3,Alta,46
C00050,,Call Center,Ahorro Plus,19784.17,32,Sí,3120.12,Febrero,A16,68.21,0.68,Ninguna,50
C00051,Sur,Unknown,Ahorro Plus,25411.74,25,No,2200.01,Enero,A38,97.83,0.75,Baja,58
C00052,Norte,Unknown,Ahorro Plus,9213.4,24,No,2729.77,Marzo,A46,49.86,0.79,Media,47
C00053,Este,Unknown,Plan Retiro,13890.87,64,No,1944.38,Mayo,A39,97.38,0.89,Baja,26
C00054,Centro,Unknown,Plan Retiro,N/A,63,No,4065.42,Febrero,A5,75.07,0.34,Ninguna,1
C00055,,Unknown,Inversión Segura,17681.96,57,No,2726.51,Marzo,A7,83.29,0.67,Baja,30
C00056,Este,Sucursal,Plan Retiro,16534.69,29,Sí,4063.94,Abril,A8,99.78,0.19,Media,57
C00057,Centro,Call Center,Inversión Segura,4001.95,30,No,3311.5,Enero,A40,96.71,0.43,Baja,38
C00058,,Agente,Inversión Segura,6437.8,60,Sí,2114.34,Marzo,A10,89.88,0.78,Alta,15
C00059,,Unknown,Plan Retiro,22587.6,34,Sí,3251.11,Marzo,A28,104.54,0.39,Media,25
C00060,,Agente,Inversión Segura,23476.65,34,Sí,3809.72,Mayo,A28,64.5,0.57,Media,6
C00061,Este,Digital,Plan Retiro,14466.74,-1,No,2922.42,Marzo,A40,93.07,0.5,Alta,18
C00062,,Digital,Inversión Segura,21952.14,38,No,3074.03,Mayo,A11,78.15,0.62,Alta,1
C00063,Centro,Agente,Plan Retiro,9883.86,25,Sí,2448.54,Enero,A3,103.77,0.88,Alta,56
C00064,,Digital,Plan Retiro,11027.87,22,No,3024.1,Enero,A3,100.31,0.14,Baja,3
C00065,Centro,Sucursal,Inversión Segura,9488.6,43,Desconocido,3237.9,Abril,A15,100.85,0.56,Ninguna,17
C00066,,Unknown,Ahorro Plus,10750.4,33,Sí,2421.18,Mayo,A34,114.68,0.79,Ninguna,48
C00067,Este,Digital,Inversión Segura,18613.48,53,Sí,1920.7,Mayo,A28,106.9,0.49,Media,8
C00068,,Unknown,Plan Retiro,10688.24,45,No,4287.97,Febrero,A10,87.64,0.16,Media,49
C00069,,Digital,Ahorro Plus,26198.72,46,Sí,3604.12,Febrero,A24,89.98,0.55,Ninguna,40
C00070,,Call Center,Inversión Segura,17300.35,64,No,2452.34,Abril,A34,99.01,0.37,Alta,17
